catchment_id,facility_name,facility_class,ownership_class,region,tpopn,log_tpopn,z_log_tpopn,catchment_population,malaria_cases,scd_cases,expected_malaria_cases,expected_scd_cases,shared_mean,shared_sd,malaria_spatial_mean,malaria_spatial_sd,scd_spatial_mean,scd_spatial_sd,exceed_prob_rr_gt1,hotspot_080,hotspot_090,robust_hotspot_005_adj,robust_hotspot_010_adj,hotspot_class_005_adj,hotspot_class_010_adj,rr_malaria_adj,rr_scd_adj
HF0698,Kojja HC IV,HC IV,Government,GREATER KAMPALA,12837,9.460086905084927,1.1716588935639756,15464,0,0,1397.496077459127,145.1490188940426,-2.338850795327859,2.217424036954292,0.003945099047043579,0.15961297438554564,-0.004612859103530726,0.15991826015557387,0.1457674876963908,0,0,0,0,Not hotspot,Not hotspot,2.0729670664397697e-7,4.86636234328983e-7
HF0715,Kiwoko HOSPITAL,General hospital,PNFP,CENTRAL II,3182,8.065265208897733,-0.6527437477725473,11149,2628,711,1007.5455100615499,104.64733650088469,6.333203879762849,1.5543742846018347,0.01398343112407192,0.21481508261432747,-0.010654698370533441,0.21074876065549158,0.9999769373424955,1,1,0,0,Not hotspot,Not hotspot,0.0025896686577774036,0.06493110979266181
HF0718,Nakaseke HOSPITAL,General hospital,Government,CENTRAL II,1914,7.5569505720129,-1.3176104964743445,14181,9051,173,1281.550172946707,133.1064560874559,5.455269008407729,1.5321883202613074,0.01710661655795761,0.21188992036129037,-0.014419264544361095,0.2066311179642798,0.999814885084816,1,1,0,0,Not hotspot,Not hotspot,0.0055110120307884465,0.009812840584585663
HF0720,Ngoma HC IV,HC IV,Government,CENTRAL II,1978,7.589841512182657,-1.274589715907354,376,0,0,33.97947006755249,3.5292311888360075,-2.153981254815471,5.965450078219952,-8.573217058920566e-4,0.2121160343264068,-1.8013100707909877e-4,0.20601418639893018,0.35902129175038344,0,0,0,0,Not hotspot,Not hotspot,0.05539576132280736,0.8491953606065523
HF0724,Semuto HC IV,HC IV,Government,CENTRAL II,2183,7.688455356549944,-1.145604513979522,24745,0,0,2236.228688355283,232.26283448868884,-2.3397216378096113,1.9904339137225617,0.016516990382845407,0.17266879600974777,-0.017560151166968588,0.16704946801991355,0.11990072611823022,0,0,0,0,Not hotspot,Not hotspot,1.7934314789155207e-7,2.4970620240917354e-6
HF0732,St. Franciscan HC IV,HC IV,PNFP,CENTRAL II,3203,8.071843149609158,-0.6441399151527335,5972,0,0,539.695200115488,56.05470388225701,-4.212134411514361,4.7986016081560745,-0.0015973234777762234,0.21221855581033713,-4.379373201880379e-4,0.2061018925280601,0.19003054814435139,0,0,0,0,Not hotspot,Not hotspot,1.9376863247112046e-5,4.614134303171924e-4
HF0741,Nakasongola Military HOSPITAL,General hospital,Government,CENTRAL II,5568,8.624791202014256,0.07910656867193408,3728,1539,13,336.90283088254176,34.99195178718254,-0.9371112318151887,1.123947979497223,0.010346439793329493,0.215881248064044,-0.0112878227767334,0.21574435161682345,0.20220602271027288,0,0,0,0,Not hotspot,Not hotspot,0.01355621859908962,0.010228063340270582
HF0752,Nakasongola HC IV,HC IV,Government,CENTRAL II,5255,8.566935283311052,0.003432028200123821,7103,5466,304,641.9047231112377,66.67055620825043,0.9371112698795648,1.1239479794366207,-0.010346421256817484,0.21588124810008721,0.01128784405597405,0.21574435163148428,0.7977939868463585,0,0,0,0,Bayesian hotspot only,Bayesian hotspot only,0.013265924366000584,0.06815363176561262
HF0773,Kakuuto HC IV,HC IV,Government,CENTRAL I,7571,8.932080438103307,0.48103557186110524,46103,0,0,4166.371033309501,432.7344295183682,-5.984522073357881,4.143813616455353,0.003566182694612518,0.2742596186712447,-0.00675585722781555,0.27887823606582185,0.07434046502548275,0,0,0,0,Not hotspot,Not hotspot,2.470125656280976e-4,0.0028392749638785505
HF0777,Kalisizo HOSPITAL,General hospital,Government,CENTRAL I,7427,8.912877287669296,0.4559181834023795,33538,444,149,3030.8602849084455,314.7961585403777,3.992345848406446,1.5299956042969232,-0.004674466613489117,0.16935295484297355,0.006867121292367709,0.17201489928075242,0.9954647286046815,1,1,0,0,Not hotspot,Not hotspot,4.84379726686957e-5,0.0015060382998865792
HF0854,Bamu  HOSPITAL,General hospital,PFP,CENTRAL I,2959,7.99260665240021,-0.7477798823208804,20865,1587,86,1885.5894759560713,195.844172220913,3.9913206679072806,1.5013761398099836,-0.002495168148302873,0.13512223888465943,0.0045370946807884414,0.13791557683857725,0.9960748513346174,1,1,0,0,Not hotspot,Not hotspot,4.464697834144432e-4,0.0022571980296889065
HF0859,Ntuusi HC IV,HC IV,Government,CENTRAL I,6335,8.75384509275524,0.24790682449402865,5596,0,0,505.7157300479355,52.525472693421,-4.205059375452033,4.56413840960971,-0.012804942353592783,0.3292166352623134,0.011149821014964876,0.33142611826840224,0.17844012583465085,0,0,0,0,Not hotspot,Not hotspot,22.1327768205226,197.9547776739318
HF0860,Ssembabule HC IV,HC IV,Government,CENTRAL I,2842,7.952263308657046,-0.8005482777986471,19756,0,0,1785.3681134429976,185.43481746447915,-4.1930315891251215,3.1664522924722553,-0.010308221610416826,0.24737520367216892,0.008582358734753,0.2484620783585281,0.09271750470861206,0,0,0,0,Not hotspot,Not hotspot,2.6593174160377726e-4,0.0023854022952315493
HF0873,Buwambo HC IV,HC IV,Government,GREATER KAMPALA,10310,9.240869577011006,0.8849264219813705,14170,0,0,1280.5560927053693,133.00320730267612,-3.165582826513121,2.61270931911562,0.005859765619092187,0.16775712482728844,-0.006979155827493661,0.16753086253677654,0.11283099251537798,0,0,0,0,Not hotspot,Not hotspot,2.229808074764545e-6,6.9261069076163895e-6
HF0883,Luwunga Barracks HC IV,HC IV,Other,GREATER KAMPALA,6138,8.722254235179681,0.20658652946242623,30893,2279,9,2791.8291723321786,289.96951892742226,2.617983003396908,1.509189736691341,0.012846196530902802,0.16250495894184572,-0.011392589390355942,0.15781605134613477,0.9586025267278736,1,1,0,0,Not hotspot,Not hotspot,2.9234676481038654e-4,1.2306309138028767e-4
HF0887,Kisubi HOSPITAL,General hospital,PNFP,GREATER KAMPALA,25521,10.147256921643994,2.070465383801831,60614,444,149,5477.743613496348,568.9383491492174,3.1720359001467497,1.5357267132033796,0.004798901475807039,0.18985730073456047,-0.00266152721392386,0.1851065441394412,0.9805619075493234,1,1,0,0,Not hotspot,Not hotspot,1.4827206028358152e-5,4.604826527653681e-4
