catchment_id,area_index,catchment_population,malaria_cases,scd_cases,expected_malaria_cases,expected_scd_cases,shared_mean,shared_sd,malaria_spatial_mean,malaria_spatial_sd,scd_spatial_mean,scd_spatial_sd,exceed_prob_rr_gt1,hotspot_080,hotspot_090,robust_hotspot_005,robust_hotspot_010,hotspot_class_005,hotspot_class_010,rr_malaria,rr_scd
HF0103,11,17771,0,0,1605.981815347009,166.80310493831033,-3.351785361464025,2.6783340248394905,-0.019426201079637762,0.23138065548678016,0.018722255901206793,0.22736229142111192,0.10538624484967007,0,0,0,0,Not hotspot,Not hotspot,8.823992973551801e-7,8.102044144318492e-5
HF0118,12,35945,2628,711,3248.3831158994,337.3888699008252,4.86315923745896,1.4371675212976238,0.0045269964527512,0.14652009277003386,-0.0015928782759849535,0.14038737756514544,0.9996426147213245,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,2.4909572978152776e-4,0.00624765017569674
HF0202,13,21561,23,9,1948.4876439534555,202.37700442152433,1.8529157417899742,1.396556030856418,0.0035844082030830103,0.14252706271108412,-0.002113594386629117,0.13822869270183366,0.9077084521518622,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,6.234166239965008e-6,2.317018588215887e-4
HF0203,14,7544,1382,17,681.7583036957873,70.8098938526033,4.310532330587694,1.4203603058756173,0.00549808138091634,0.14559962867215287,-0.0028636988953508963,0.14172949948414243,0.9987965880486076,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.002973794883296468,0.003518329435449804
HF0204,15,25095,11550,601,2267.858514216037,235.5480230953181,5.700223377037303,1.4427695372492737,0.0050528797859438436,0.1492702538205263,-0.0017000392342025922,0.1429200726290912,0.9999610694058968,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,0.002245746450921763,0.010838258437067436
HF0216,16,37804,3525,2191,3416.3826766855173,354.8379145286075,5.6782047367307555,1.4824474585482035,0.004429051282072777,0.1530622342801194,-0.0010819837657085444,0.14594251736589436,0.9999360040233733,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,3.020608403895263e-4,0.017402014878737805
HF0252,17,28974,3771,273,2618.407355684218,271.95729910993214,4.7425406838483,1.434951714380615,0.004003215777424988,0.14482611214779914,-0.001116704761195318,0.1380891508423521,0.9995251478349017,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,5.500736022073732e-4,0.0036959268519915186
HF0253,18,5788,74,0,523.0669488058346,54.3276333004862,1.6179465511054243,1.7016623155978168,0.007957696786211945,0.17279884286202946,-0.006768923851748588,0.1712280512842353,0.8291479420191904,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,2.712057647067351e-4,3.5293603446728876e-4
HF0262,19,13670,151,2,1235.3706271900069,128.31008072177718,1.8896262373919868,1.4857821227948287,0.005316852919673126,0.15047957744415594,-0.0038980362812658102,0.1486029857439886,0.8982789261129791,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,9.912022938782773e-5,1.684511003787934e-4
HF0263,20,10779,299,373,974.1082655801818,101.17442283101947,5.19113079920057,1.499444626941341,0.001879759455119213,0.15724493800929773,0.001292968359500237,0.1517410866347831,0.9997319469614824,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,3.158220017666729e-4,0.03644957720094422
HF0264,21,8264,0,0,746.825374037909,77.56799612909778,-0.9349431766727291,1.9391086684749703,0.003091767059892089,0.14881465853052905,-0.002979204509774843,0.1466016136775847,0.3148493425669505,0,0,0,0,Not hotspot,Not hotspot,2.00915792938047e-6,1.6076152291200652e-4
HF0281,22,94308,1030,383,8522.701763645586,885.1987631828356,3.576143448211773,1.4480509255186156,0.004654560316939176,0.1527573338309514,-0.0023383717671444358,0.14805491418679317,0.993237271139012,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,1.4187954338376416e-5,4.89154866861478e-4
HF0282,23,46581,1861,724,4209.568338342188,437.2210585297076,4.915050985424771,1.4530328947462885,0.005577951178965602,0.15037869765614997,-0.0026357312593013227,0.1458844342201329,0.9996410040589478,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,1.0505196707820263e-4,0.0037887080030735744
HF0283,24,102942,0,0,9302.964382164864,966.2396729817985,-3.495209891123248,1.9330305247778754,0.0030218756575453036,0.15135086908120546,-0.004199170245063139,0.1510304066845778,0.03529154893923747,0,0,0,0,Not hotspot,Not hotspot,1.293559276472508e-8,1.0457028210612263e-6
HF0290,25,7616,0,0,688.2650107299994,71.48570408025275,-2.2755920985923823,2.6307810125044986,0.0015748565059123263,0.19337443303651464,-0.002385272908582283,0.19068008727418204,0.19352288661835415,0,0,0,0,Not hotspot,Not hotspot,4.184089931298504e-6,4.119228978152601e-4
HF0298,26,25610,4109,71,2314.39954369686,240.38194347364401,4.400563162745093,1.4750378067758811,0.0035902863102593844,0.14314432238221506,-0.0011454486242607077,0.1380692919815642,0.998574470055055,1,1,0,1,Bayesian hotspot only,Robust hotspot,7.671582861345869e-4,0.0012392204552249808
HF0304,27,45037,11399,1041,4070.035620830749,422.72868364789167,5.840457136305266,1.4795889182490138,0.0037235928805888358,0.15132873630968313,-5.62535418672736e-4,0.1449985120303928,0.9999604897051464,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,6.881545322300561e-4,0.0058275674651447045
HF0316,28,15892,0,0,1436.1748359402773,149.1663352472921,-3.779876916242839,2.703064273671579,0.01985314193274935,0.1802460441283493,-0.02144615769925366,0.17357737717711255,0.08100138620697928,0,0,0,0,Not hotspot,Not hotspot,1.4424939982907604e-6,9.478251048926726e-5
HF0327,29,25071,3771,65,2265.6896118712993,235.32275301943494,4.207371256039411,1.550839946225726,0.03604868541862457,0.2437796064264964,-0.034702942500588106,0.23670993977067006,0.9966657715196973,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,7.34651862277161e-4,0.0011840154538988183
HF0354,30,22487,0,0,2032.1711260879067,211.06867484934918,-4.21567173707944,3.0510854443465445,0.03676557166705071,0.2669383437687439,-0.03980206443800884,0.26040496190067847,0.08353257268119862,0,0,0,0,Not hotspot,Not hotspot,1.1527050407588512e-6,9.757029331578505e-5
