catchment_id,area_index,cases_local_ib,cases_p_value,cases_quadrant,cases_cluster_005,cases_cluster_010,cases_hotspot_005,cases_hotspot_010,deaths_local_ib,deaths_p_value,deaths_quadrant,deaths_cluster_005,deaths_cluster_010,deaths_hotspot_005,deaths_hotspot_010
HF1903,151,0.06187397909409697,0.896,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.1023861010220893,0.711,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1927,152,-0.9085017352900857,0.037,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-0.19127946004901952,0.134,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1934,153,-0.01986027116898359,0.716,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.03546812259142598,0.838,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1965,154,0.08344647207620727,0.965,High-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.11025880436687344,0.993,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1970,155,-0.04311141986541581,0.145,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,0.19591910064975598,0.078,High-High,Not significant,High-High,Not hotspot,Hotspot
HF1994,156,-0.24880311311781242,0.162,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.12460944077882186,0.404,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1999,157,0.16122093144236532,0.855,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.81,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2009,158,0.04177940047028581,0.712,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.31287243336235543,0.823,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2019,159,-0.17167850537376197,0.668,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.1023861010220893,0.709,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2027,160,-0.8453205594545641,0.043,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-0.1023861010220893,0.718,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2028,161,-0.34994249899389857,0.009,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-1.3851098330058786,0.011,Low-High,Low-High,Low-High,Not hotspot,Not hotspot
HF2029,162,-0.9491180232542296,0.829,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-1.8996250909720722,0.811,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2057,163,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2067,164,-1.4030870876026327,0.746,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.5902767441332849,0.823,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2099,165,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2108,166,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2124,167,-1.22740044641053,0.735,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.10878211900945735,0.816,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2140,168,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2145,169,0.026976257520982736,0.543,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0.0069948836383140625,0.902,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2152,170,0.2047941561565181,0.741,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.819,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2167,171,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2186,172,0.2047941561565181,0.758,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.843,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2190,173,0.2047941561565181,0.76,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.834,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2205,174,-1.2863572089897424,0.004,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-0.25388914806659246,0.078,Low-High,Not significant,Low-High,Not hotspot,Not hotspot
HF2206,175,-1.0088104214342661,0.477,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.3849975541627971,0.582,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2211,176,0.2047941561565181,0.742,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.828,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2222,177,-0.4733327453433443,0.458,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.06320855366851892,0.614,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2228,178,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2249,179,0.06187397909409697,0.917,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.1023861010220893,0.719,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2278,180,-0.019643707380150442,0.816,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,0.08618684051202632,0.729,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2280,181,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2292,182,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2305,183,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2329,184,0.1677408916520593,0.971,High-High,Not significant,Not significant,Not hotspot,Not hotspot,1.5646123398933183,0.085,High-High,Not significant,High-High,Not hotspot,Hotspot
HF2330,185,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2353,186,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2375,187,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2376,188,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2400,189,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2410,190,0.2047941561565181,0.768,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.835,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2428,191,-0.343357010747524,0.139,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.03571608175189161,0.973,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2445,192,-0.0919239528188538,0.687,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.0805811923486425,0.573,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2448,193,-0.422369791562521,0.085,Low-High,Not significant,Low-High,Not hotspot,Not hotspot,-0.1986872399679304,0.101,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2457,194,0.029156568311912084,0.147,High-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.08983316852351651,0.15,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2475,195,0.2047941561565181,0.489,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.595,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2481,196,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2490,197,-1.0145127699119079,0.484,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.129785588253542,0.586,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2494,198,-0.9411816538257003,0.042,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-0.21350279980575212,0.129,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2501,199,-0.3681937488345911,0.106,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.03571608175189161,0.896,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2508,200,0.18437698800474367,0.262,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.0849249054989423,0.47,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2512,201,0.1326854822288413,0.531,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.07304500500734766,0.661,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2513,202,0.08342740326369708,0.476,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.04425074749827576,0.617,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2521,203,0.2047941561565181,0.25,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.328,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2522,204,0.015439981311655273,0.482,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.03665699820901568,0.584,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
