catchment_id,area_index,catchment_population,malaria_cases,scd_cases,expected_malaria_cases,expected_scd_cases,cases_cluster_005,cases_cluster_010,shared_mean,shared_sd,exceed_prob_rr_gt1,hotspot_080,hotspot_090,robust_hotspot_005,robust_hotspot_010,hotspot_class_005,hotspot_class_010,rr_malaria,rr_scd
HF0773,63,46103,0,0,4166.371033309501,432.7344295183682,Not significant,Not significant,-5.034918189505965,3.0525111420858138,0.049529292297017635,0,0,0,0,Not hotspot,Not hotspot,2.910519036629896e-7,6.2410799274833915e-6
HF0777,64,33538,444,149,3030.8602849084455,314.7961585403777,Not significant,Low-High,4.737139890895663,0.5511609932304652,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4.843573109594083e-5,0.0015030887414468304
HF0854,65,20865,1587,86,1885.5894759560713,195.844172220913,Not significant,Not significant,4.73438179423618,0.5519907196570302,1,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4.464577758976583e-4,0.0022558646861595166
HF0859,66,5596,0,0,505.7157300479355,52.525472693421,Not significant,Not significant,-3.4744145547026735,3.5414774206253226,0.163280691854515,0,0,0,0,Not hotspot,Not hotspot,7.666143538038655e-5,0.001223843472969789
HF0860,67,19756,0,0,1785.3681134429976,185.43481746447915,Not significant,Not significant,-4.369537514374982,3.1947695935275098,0.08570049362989429,0,0,0,0,Not hotspot,Not hotspot,2.2654852054579337e-6,4.384970274310224e-5
HF0873,68,14170,0,0,1280.5560927053693,133.00320730267612,Not significant,Not significant,-3.949983898719971,3.11503928086906,0.10239243567447454,0,0,0,0,Not hotspot,Not hotspot,3.6064055329813123e-6,7.181040118855707e-5
HF0883,69,30893,2279,9,2791.8291723321786,289.96951892742226,Not significant,Not significant,2.2643543969699724,0.645322300722275,0.9997749956580064,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,2.923353594187679e-4,1.2370678221710496e-4
HF0887,70,60614,444,149,5477.743613496348,568.9383491492174,Not significant,Not significant,4.142502592146363,0.5514188138287579,0.999999999999971,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,1.482838267034177e-5,4.602202898536922e-4
HF0889,71,71727,0,2,6482.035770040792,673.2477805362773,Not significant,Not significant,-0.9553226371056317,1.0199940259842268,0.17448312637777563,0,0,0,0,Not hotspot,Not hotspot,3.235057686951218e-8,3.647527869531438e-6
HF0919,72,22924,0,0,2071.6632229483334,215.17046748105486,Not significant,Not significant,-4.375690575731115,3.0677584839410397,0.07688398615762704,0,0,0,0,Not hotspot,Not hotspot,1.2265719629393659e-6,2.520005683949606e-5
