catchment_id,area_index,neighbour_count,component_id,is_island
HF1785,145,3,12,FALSE
HF1805,146,2,12,FALSE
HF1831,147,0,13,TRUE
HF1856,148,1,14,FALSE
HF1868,149,1,15,FALSE
HF1882,150,0,16,TRUE
HF1903,151,2,12,FALSE
HF1927,152,2,15,FALSE
HF1934,153,1,15,FALSE
HF1965,154,2,12,FALSE
HF1970,155,3,12,FALSE
HF1994,156,4,12,FALSE
HF1999,157,1,17,FALSE
HF2009,158,1,17,FALSE
HF2019,159,2,9,FALSE
HF2027,160,2,18,FALSE
HF2028,161,2,18,FALSE
HF2029,162,1,18,FALSE
HF2057,163,0,19,TRUE
HF2067,164,1,18,FALSE
HF2099,165,0,20,TRUE
HF2108,166,0,21,TRUE
HF2124,167,1,22,FALSE
HF2140,168,0,23,TRUE
HF2145,169,3,12,FALSE
HF2152,170,1,15,FALSE
HF2167,171,0,24,TRUE
HF2186,172,1,25,FALSE
HF2190,173,1,25,FALSE
HF2205,174,3,15,FALSE
HF2206,175,2,15,FALSE
HF2211,176,1,9,FALSE
HF2222,177,2,15,FALSE
HF2228,178,0,26,TRUE
HF2249,179,2,12,FALSE
HF2278,180,2,12,FALSE
HF2280,181,0,27,TRUE
HF2292,182,0,28,TRUE
HF2305,183,0,29,TRUE
HF2329,184,1,30,FALSE
HF2330,185,0,31,TRUE
HF2353,186,0,32,TRUE
HF2375,187,0,33,TRUE
HF2376,188,0,34,TRUE
HF2400,189,0,35,TRUE
HF2410,190,1,14,FALSE
HF2428,191,1,22,FALSE
HF2445,192,4,12,FALSE
HF2448,193,3,12,FALSE
HF2457,194,1,30,FALSE
HF2475,195,2,36,FALSE
HF2481,196,0,37,TRUE
HF2490,197,2,38,FALSE
HF2494,198,1,38,FALSE
HF2501,199,2,38,FALSE
HF2508,200,7,36,FALSE
HF2512,201,2,36,FALSE
HF2513,202,3,36,FALSE
HF2521,203,4,36,FALSE
HF2522,204,2,36,FALSE
HF2528,205,4,36,FALSE
HF2565,206,0,39,TRUE
HF2566,207,0,40,TRUE
HF2570,208,1,41,FALSE
HF2578,209,1,1,FALSE
HF2586,210,1,1,FALSE
