area_index,shared_mean_adj,shared_sd_adj,shared_q025_adj,shared_q50_adj,shared_q975_adj,exceed_prob_rr_gt1_adj,hotspot_080_adj,hotspot_090_adj
64,-0.15712309913981648,1.1519174333373385,-2.4491553840614535,-0.14955297722168692,2.091247769049751,0.44575200114580726,0,0
65,-0.5933189192931385,1.2817681813444055,-3.1268532232169237,-0.5887859045688546,1.9151069770894955,0.3217212595054002,0,0
66,-0.9278634234314521,6.276812389179524,-13.27724816670659,-0.9252225975073223,11.406697838463794,0.44124083981291606,0,0
67,-1.0174300533339968,4.183073784190411,-9.248726201138895,-1.0148687617091903,7.1994938798107775,0.403915371632081,0,0
68,-0.8689667507101037,3.365688190850371,-7.523806165807246,-0.8559731724946772,5.712604195365527,0.3981324630097639,0,0
69,-0.4994595967703653,2.948588450664309,-6.314167002777863,-0.4939862115632035,5.284256287799133,0.4327451845347239,0,0
70,-0.19376520465552072,1.9073123718073144,-4.015653178102045,-0.1657317577398984,3.4740126629240633,0.4595407796072991,0,0
71,-4.368446652139897,2.0777020316343418,-8.551023801869583,-4.329669242350267,-0.40002388726080396,0.01775310458121948,0,0
72,-2.4005112051402624,2.2701574019008195,-6.895539854569254,-2.388729715794237,2.0273825238683525,0.14515983671427346,0,0
73,-1.6421212564405854,1.8944553806259647,-5.4261283062929095,-1.6189304543066503,2.0142368764522063,0.19302474052003982,0,0
74,-1.3220483508425147,2.3443737995712204,-5.990264032559049,-1.3008827770660605,3.2277425433592386,0.2864029714073626,0,0
75,-1.8192587099432793,1.9194727177398498,-5.676568773568581,-1.7867217917859262,1.8581513422387848,0.17161796563423637,0,0
76,0.37664139530470775,3.3016205221677706,-6.15943463038081,0.3926689257587585,6.822938507149753,0.545411914575063,0,0
77,-3.2596089721049264,4.042993535569958,-11.302561436534107,-3.22689946870966,4.598772262273577,0.21005324726244212,0,0
78,-15.122003606694124,3.146370353274845,-21.447422237080723,-15.069294876114778,-9.093460571326979,7.692298154005073e-7,0,0
79,9.102390189815297,1.241564827772888,6.7078135182622125,9.087923647606017,11.579163200271324,0.9999999999998861,1,1
80,4.254527579510947,2.7747358143048686,-1.14122323231601,4.235276166636623,9.75964671625167,0.9374001390414487,1,1
81,6.900577756581995,3.480236624429547,0.2503019697129423,6.833676094279743,13.923301374297015,0.9763045443028838,1,1
82,4.069873866875452,1.7939292147257992,0.6006939318637432,4.049589738078777,7.651738686282188,0.988356485890629,1,1
83,2.9442395015052436,2.920331163147705,-2.763257538641972,2.933297588135751,8.714042964653911,0.843317617268847,1,0
84,0.8940537748309896,1.8732048524219527,-2.7830298345218565,0.8938424360668568,4.57243239134267,0.6834206320671306,0,0
