priority_rank,catchment_id,catchment_population,malaria_cases,scd_cases,malaria_deaths,scd_deaths,cases_cluster_005,cases_cluster_010,shared_mean_step4,exceed_prob_step4,shared_mean_step5,shared_sd_step5,exceed_prob_step5,hotspot080_step4,hotspot090_step4,hotspot080_step5,hotspot090_step5,robust005_step4,robust010_step4,robust005_step5,robust010_step5,stability_score,stability_class,prioritisation_score,final_typology_005,final_typology_010,rr_malaria_step4,rr_scd_step4,rr_malaria_step5,rr_scd_step5
81,HF1754,13722,1374,261,26,0,Low-High,Low-High,6.222441849987996,1,5.633561935512519,1.5503765401223484,0.9998602927229059,1,1,1,1,0,0,0,0,4,Moderately stable,0.5711939237773622,Bayesian-only shared hotspot,Bayesian-only shared hotspot,8.939922370475074e-4,0.015738660598615378,8.938450978481506e-4,0.015756932219754514
82,HF2481,12101,1665,206,19,10,Not significant,Not significant,6.128190115433386,1,5.732685120991341,1.5851642753628596,0.999850670978552,1,1,1,1,0,0,0,0,4,Moderately stable,0.5705135802838304,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0013927598060827304,0.015985681119170193,0.0013926552914697622,0.01600190857136714
83,HF0588,27583,1071,157,4,4,Not significant,Not significant,5.020321276922376,1,4.567021676971993,1.57523094025883,0.9981298438253987,1,1,1,1,0,0,0,0,4,Moderately stable,0.5702957426932411,Bayesian-only shared hotspot,Bayesian-only shared hotspot,1.7247342563244736e-4,0.0023454244284510633,1.7244709952231676e-4,0.002349048687545663
84,HF2791,8402,3771,31,22,7,Not significant,Not significant,4.714909883591681,0.9999999999999998,4.824444994233643,1.5076248344466163,0.9993129340481619,1,1,1,1,0,0,0,0,4,Moderately stable,0.5682682656840312,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.006540432324773323,0.005165388103987117,0.006541080546499865,0.005086403976048324
85,HF2522,11275,2092,100,19,4,Not significant,Not significant,5.510131203488457,1,5.4818331563079195,1.556458855121094,0.9997858401786731,1,1,1,1,0,0,0,0,4,Moderately stable,0.5672054693946427,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.002015288161791278,0.008977377390600623,0.0020153702836195643,0.008978321906849626
86,HF1697,13885,2897,67,1,0,Not significant,Not significant,4.929920732585861,1,4.543147769146182,1.5615031267583797,0.9981897940410949,1,1,1,1,0,0,0,0,4,Moderately stable,0.5663760285765023,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0018399770776738617,0.00399131215790332,0.0018400612642395038,0.0039733587883200045
87,HF0777,33538,444,149,24,5,Not significant,Low-High,4.737139890895663,1,3.992345848406446,1.5299956042969232,0.9954647286046815,1,1,1,1,0,0,0,0,4,Moderately stable,0.5663262156143092,Bayesian-only shared hotspot,Bayesian-only shared hotspot,4.843573109594083e-5,0.0015030887414468304,4.839910133015334e-5,0.0015073615199947008
88,HF2705,36682,1268,34,17,1,Not significant,Not significant,3.269322768706838,0.9999999945101045,3.422578829544673,1.5586736031611566,0.9859478644865125,1,1,1,1,0,0,0,0,4,Moderately stable,0.5633767943357041,Bayesian-only shared hotspot,Bayesian-only shared hotspot,1.1539893818876903e-4,2.9344504000414906e-4,1.1541701538308699e-4,2.9245732609110197e-4
89,HF1431,3748,1817,92,17,10,Not significant,Not significant,6.534008458073437,1,6.113565030927438,1.568642532800983,0.9999513765442425,1,1,1,1,0,0,0,0,4,Moderately stable,0.5628197604670889,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.015840876249093236,0.07476191338175744,0.015840869329464744,0.07470034421337358
90,HF0263,10779,299,373,50,13,Not significant,Not significant,6.751989767319119,1,5.19113079920057,1.499444626941341,0.9997319469614824,1,1,1,1,0,0,0,0,4,Moderately stable,0.561771296041569,Bayesian-only shared hotspot,Bayesian-only shared hotspot,3.165350822940076e-4,0.03638847189548023,3.158220017666729e-4,0.03644957720094422
91,HF0854,20865,1587,86,5,3,Not significant,Not significant,4.73438179423618,1,3.9913206679072806,1.5013761398099836,0.9960748513346174,1,1,1,1,0,0,0,0,4,Moderately stable,0.5601323469948933,Bayesian-only shared hotspot,Bayesian-only shared hotspot,4.464577758976583e-4,0.0022558646861595166,4.4644127683785034e-4,0.0022524989535613682
92,HF2837,7996,1828,30,5,0,Not significant,Not significant,4.700960435580975,0.9999999999999999,5.2285493457111425,1.6003721652965266,0.9994566916926723,1,1,1,1,0,0,0,0,4,Moderately stable,0.5581484813509285,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.003500812969431771,0.005489268985133791,0.003501483384702643,0.005453249343520719
93,HF3149,5362,189,295,17,3,Not significant,Not significant,7.208067535007126,1,5.726714439678644,1.4961344997868744,0.9999353199132589,1,1,1,1,0,0,0,0,4,Moderately stable,0.5574520325893868,Bayesian-only shared hotspot,Bayesian-only shared hotspot,8.109916441488166e-4,0.11622273306820476,8.080087403622196e-4,0.1165102792436183
94,HF1312,38659,1382,17,38,0,Not significant,Not significant,2.572955727166028,0.9999901784218205,2.7997611516833305,1.499573597158705,0.9690518714754381,1,1,1,1,0,0,0,0,4,Moderately stable,0.5549202135156593,Bayesian-only shared hotspot,Bayesian-only shared hotspot,1.1321810839740585e-4,1.3709252182278074e-4,1.1324524975494588e-4,1.3450002909559737e-4
95,HF2512,15960,745,43,10,3,Not significant,Not significant,4.305261003161996,0.9999999999999912,4.39053613936247,1.551075819952864,0.99767724597905,1,1,1,1,0,0,0,0,4,Moderately stable,0.5521274798725782,Bayesian-only shared hotspot,Bayesian-only shared hotspot,3.5830491466150473e-4,0.0019392376538384802,3.583415459048643e-4,0.0019433382159036057
96,HF2028,8613,1821,39,2,0,Low-High,Low-High,4.872606004906446,1,4.341690923275092,1.5455108525810068,0.9975169696709131,1,1,1,1,0,0,0,0,4,Moderately stable,0.5517741468085405,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0030057924534587664,0.0060924786392082915,0.0030059897160646565,0.006036884386474298
97,HF2513,6376,1281,16,14,1,Not significant,Not significant,4.3215281948636886,0.9999999999997743,4.7670136011715565,1.542762363590439,0.9989989508101976,1,1,1,1,0,0,0,0,4,Moderately stable,0.5490417812131309,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.003857989722936212,0.004745393120440833,0.0038590951179528683,0.004669768917615956
98,HF0883,30893,2279,9,60,0,Not significant,Not significant,2.2643543969699724,0.9997749956580064,2.617983003396908,1.509189736691341,0.9586025267278736,1,1,1,1,0,0,0,0,4,Moderately stable,0.5482938525069787,Bayesian-only shared hotspot,Bayesian-only shared hotspot,2.923353594187679e-4,1.2370678221710496e-4,2.9240179429002196e-4,1.1623278934961109e-4
99,HF0203,7544,1382,17,55,1,Not significant,Not significant,4.2141613984543795,0.9999999999993122,4.310532330587694,1.4203603058756173,0.9987965880486076,1,1,1,1,0,0,0,0,4,Moderately stable,0.5473995225404943,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.002973131883355007,0.0035925914961550016,0.002973794883296468,0.003518329435449804
100,HF2601,29704,4936,1,5,0,Not significant,Not significant,1.036962059330757,0.8929582525310533,2.354632279714571,1.6425770810448836,0.9241423296434489,1,0,1,1,0,0,0,0,3,Borderline stable,0.5453323553355601,Bayesian-only shared hotspot,Bayesian-only shared hotspot,6.848402779026706e-4,3.9692141875278614e-5,6.849801748026876e-4,2.8275066505224538e-5
101,HF2984,4819,1527,4,7,0,Not significant,Not significant,3.447302805343432,0.9999995165720319,4.351959004645402,1.5976387159566257,0.9967751205400573,1,1,1,1,0,0,0,0,4,Moderately stable,0.5449781161011255,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.008048491291181965,0.0026651869952401203,0.008051984596799636,0.0023966677784259143
102,HF0019,17421,623,15,10,0,Not significant,Not significant,3.2139028344924707,0.9999999566931789,3.5075588294742603,1.4976735687804101,0.990409768323873,1,1,1,1,0,0,0,0,4,Moderately stable,0.5427407463592697,Bayesian-only shared hotspot,Bayesian-only shared hotspot,2.513956146478343e-4,5.920390711760909e-4,2.514932147441645e-4,5.872763706882676e-4
103,HF3353,16796,2124,5,19,1,Not significant,Not significant,2.393201012067314,0.9997401524561745,2.922741263450575,1.508790168662199,0.9736360246735805,1,1,1,1,0,0,0,0,4,Moderately stable,0.541493758421897,Bayesian-only shared hotspot,Bayesian-only shared hotspot,9.216500885879128e-4,2.624549260082502e-4,9.219156756901832e-4,2.350239967209622e-4
104,HF1130,31671,1852,11,1,0,Not significant,Not significant,2.3969336141452025,0.9999299268029953,2.4774039342332386,1.5356134591598454,0.9466602376725871,1,1,1,1,0,0,0,0,4,Moderately stable,0.541074634613919,Bayesian-only shared hotspot,Bayesian-only shared hotspot,2.260389171835405e-4,1.3880228201886357e-4,2.260889329080246e-4,1.3236057213420233e-4
105,HF0499,13401,2649,0,0,0,Not significant,High-High,1.3213758758325975,0.9220176357749773,2.513943065094557,1.6839020182990263,0.9322718731828501,1,1,1,1,0,1,0,1,7,Highly stable,0.5391185089085769,Bayesian-only shared hotspot,Robust shared hotspot,0.001805397206852251,1.288746843175215e-4,0.0018060541095872267,8.224026903039217e-5
106,HF3331,5154,828,4,0,0,Not significant,Not significant,3.3231010526848257,0.9999988586405215,4.160048951349219,1.61658911682086,0.9949640293535472,1,1,1,1,0,0,0,0,4,Moderately stable,0.5386666239911257,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.003815028691666426,0.00225590369052313,0.003817629269969503,0.002082763813555118
107,HF3146,2071,78,8,1,0,Not significant,Not significant,4.626531315899809,0.9999999999997992,4.488995372772502,1.5309477813839438,0.9983169744193958,1,1,1,1,0,0,0,0,4,Moderately stable,0.5345985804217898,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.00224257863414624,0.022059849730851868,0.0022411093070425015,0.02263102536960578
108,HF3308,26761,672,9,7,0,Not significant,Not significant,2.322540210013829,0.9998642995455951,2.452551013178797,1.5096546888083078,0.9478736908036205,1,1,1,1,0,0,0,0,4,Moderately stable,0.5289383630300494,Bayesian-only shared hotspot,Bayesian-only shared hotspot,1.1488427794042539e-4,1.5870968829349307e-4,1.1493493515794402e-4,1.5373326597709408e-4
109,HF0921,35279,511,14,5,0,Not significant,Not significant,2.4294523697227954,0.9999666860057145,1.9548292476713096,1.47801345654297,0.9070167565140401,1,1,1,1,0,0,0,0,4,Moderately stable,0.5180375760778386,Bayesian-only shared hotspot,Bayesian-only shared hotspot,5.028682651449699e-5,1.3500994349712728e-4,5.0295706938833894e-5,1.3247541382011084e-4
110,HF1532,23806,760,5,4,0,Not significant,Not significant,1.9523186809373967,0.9976872831594449,2.0987183710270947,1.5712850137999248,0.9091714325597605,1,1,1,1,0,0,0,0,4,Moderately stable,0.5104792582708612,Bayesian-only shared hotspot,Bayesian-only shared hotspot,1.6414478342986218e-4,1.2449875521996034e-4,1.6423028749137418e-4,1.149253290807458e-4
111,HF3236,24292,957,2,3,0,Not significant,Not significant,1.3237891099817953,0.9541038487920702,1.9544767869741135,1.5284154077520844,0.89950924273975,1,1,1,0,0,0,0,0,3,Borderline stable,0.5026831156865025,Bayesian-only shared hotspot,Bayesian-only shared hotspot,1.9846253239150943e-4,6.749855605653741e-5,1.9858960412771066e-4,5.637579410728176e-5
112,HF0202,21561,23,9,0,0,Not significant,Not significant,2.3028720388005084,0.9998225750694416,1.8529157417899742,1.396556030856418,0.9077084521518622,1,1,1,1,0,0,0,0,4,Moderately stable,0.5013675462675427,Bayesian-only shared hotspot,Bayesian-only shared hotspot,6.31032363935626e-6,2.194833237237037e-4,6.234166239965008e-6,2.317018588215887e-4
113,HF2329,32747,14033,580,128,7,Not significant,Not significant,6.210821603152416,1,0.2941556821975886,1.1181444781561638,0.6037535529316664,1,1,0,0,0,0,0,0,2,Borderline stable,0.49442831018554967,No strong hotspot evidence,No strong hotspot evidence,0.0016023537977972245,0.006145133307363733,0.001602249205855446,0.006128780266934509
114,HF0262,13670,151,2,1,0,Not significant,Not significant,1.6482591762925536,0.9800859625151351,1.8896262373919868,1.4857821227948287,0.8982789261129791,1,1,1,0,0,0,0,0,3,Borderline stable,0.48658242340601426,Bayesian-only shared hotspot,Bayesian-only shared hotspot,9.89282048295449e-5,1.8095142197762867e-4,9.912022938782773e-5,1.684511003787934e-4
115,HF0560,10014,2444,0,8,0,Not significant,Not significant,1.5887929102096785,0.9555393469371058,1.7980018196225709,1.617273266335679,0.8668769417832294,1,1,1,0,0,0,0,0,3,Borderline stable,0.4864630435969992,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0029829068539234693,2.26836868381279e-4,0.002983868906337564,1.272440159573379e-4
116,HF0752,7103,5466,304,98,2,Not significant,Not significant,7.086403437275955,1,0.9371112698795648,1.1239479794366207,0.7977939868463585,1,1,0,0,0,0,0,0,2,Borderline stable,0.4779821080125449,No strong hotspot evidence,No strong hotspot evidence,0.013266541994845664,0.06849537412464418,0.013264101692674168,0.06815710950092785
117,HF0940,65003,11,31,0,0,Not significant,Not significant,2.3836560459234857,0.9999624401166535,1.0607479646718423,1.4539211815913073,0.7671757147478345,1,1,0,0,0,0,0,0,2,Borderline stable,0.4775405430731468,No strong hotspot evidence,No strong hotspot evidence,3.6419384534374313e-7,8.159352737153643e-5,3.433479359790146e-7,8.394489933461387e-5
118,HF0253,5788,74,0,1,0,Not significant,Low-High,1.2355910328782336,0.8675125904489575,1.6179465511054243,1.7016623155978168,0.8291479420191904,1,0,1,0,0,0,0,0,2,Borderline stable,0.44746357761200767,Bayesian-only shared hotspot,Bayesian-only shared hotspot,2.697309179841515e-4,3.8014002462126407e-4,2.712057647067351e-4,3.5293603446728876e-4
119,HF2708,10418,0,19,0,0,Not significant,Not significant,3.6185980641481317,0.9999999937554884,1.1802320882161177,1.654994330109713,0.7621184596043153,1,1,0,0,0,0,0,0,2,Borderline stable,0.42524307543512574,No strong hotspot evidence,No strong hotspot evidence,2.2882662729731373e-6,0.001866786172998324,1.3504668047203476e-6,0.0019798366931100177
120,HF1629,6620,0,0,0,0,Not significant,Not significant,-3.409417503054592,0.15116065946427337,0.9327983589896016,1.3994464663056498,0.747469579551481,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.4041308785493696,No strong hotspot evidence,No strong hotspot evidence,2.698018856100997e-5,4.821370619096289e-4,3.0968542947336677e-6,2.355943384407632e-4
121,HF2186,1735,0,0,0,0,Not significant,Not significant,-2.451459727977672,0.2511392759819362,0.8386632539288741,1.593905961322013,0.7006144625561902,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.38248064278200083,No strong hotspot evidence,No strong hotspot evidence,0.0010982256429188846,0.015754585837159447,4.214072833982292e-5,0.002973388993716339
122,HF2205,28991,180,0,3,0,Low-High,Low-High,-0.08419424565836228,0.46791706709210423,0.0330092575062011,1.6987517908395031,0.5077515502057828,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.33567155315056246,Discordant cluster area,Discordant cluster area,2.6165096273937513e-5,1.8343227434173664e-5,2.623117373155671e-5,1.4327824674054607e-5
123,HF2410,11325,0,0,0,0,Not significant,Not significant,-3.8264538512662787,0.11612134583278322,0.07889227953283445,1.428412562369925,0.5220226794136043,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.32333781050668164,No strong hotspot evidence,No strong hotspot evidence,7.012207368765722e-6,1.3394220291411483e-4,1.0339894221880158e-6,7.804235234785141e-5
124,HF2457,18179,2482,272,12,12,Not significant,Not significant,6.002868982468542,1,-0.2941556450167975,1.118144478176927,0.3962464598847367,1,1,0,0,0,0,0,0,2,Borderline stable,0.3181291624982756,No strong hotspot evidence,No strong hotspot evidence,9.198270836477116e-4,0.009351330396940064,9.194078879877686e-4,0.009305401034147018
125,HF1856,13211,0,0,0,0,Not significant,Not significant,-3.9462019075919623,0.10692625090836083,-0.07889229010016867,1.4284125623678514,0.47797731763950413,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.308522065862459,No strong hotspot evidence,No strong hotspot evidence,4.787940964118788e-6,9.317298331945382e-5,7.596511838550064e-7,5.743886053866863e-5
126,HF0650,42103,285,0,1,0,Not significant,Not significant,-0.3424263582829102,0.36910696312838953,-0.5367955881493447,1.7313982554430796,0.3782668343284087,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.29908753015829337,No strong hotspot evidence,No strong hotspot evidence,1.9650661753004028e-5,9.379625984747846e-6,1.9682448378225352e-5,6.69583010080861e-6
127,HF1643,40788,0,0,0,0,Not significant,Not significant,-4.836466183650638,0.05267999948177682,-0.9327983707136656,1.3994464662827668,0.25253041776860385,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.2490741772277331,No strong hotspot evidence,No strong hotspot evidence,3.188394032646165e-7,7.025168078744693e-6,8.12988781347035e-8,6.318360673443972e-6
128,HF0264,8264,0,0,0,0,Not significant,Not significant,-3.4994879207298903,0.13612596032931612,-0.9349431766727291,1.9391086684749703,0.3148493425669505,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.24051717325101002,No strong hotspot evidence,No strong hotspot evidence,1.2819123895183618e-5,2.4175814601003814e-4,2.00915792938047e-6,1.6076152291200652e-4
129,HF0720,376,0,0,0,0,Not significant,Not significant,-1.5227509512015966,0.3604394065300437,-2.153981254815471,5.965450078219952,0.35902129175038344,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.23965404630559772,No strong hotspot evidence,No strong hotspot evidence,0.18551353467797588,1.8513807974639591,131.7412125545376,1538.3265919527526
130,HF2190,9064,0,0,0,0,Not significant,Not significant,-3.6714011799805193,0.13002940415287167,-0.8386632606168666,1.5939059612821889,0.2993855359816874,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.23655924776070508,No strong hotspot evidence,No strong hotspot evidence,1.2704140351151046e-5,2.340880539296699e-4,1.543700142139265e-6,1.109851886317687e-4
131,HF0889,71727,0,2,0,0,Not significant,Not significant,-0.9553226371056317,0.17448312637777563,-1.703468496631191,1.587265440463951,0.14158854385385378,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.23351796502601063,No strong hotspot evidence,No strong hotspot evidence,3.235057686951218e-8,3.647527869531438e-6,2.6320104293910424e-8,5.2616440573973675e-6
132,HF0741,3728,1539,13,19,0,Not significant,Not significant,4.681491386837856,0.9999999999999922,-0.9371112318151887,1.123947979497223,0.20220602271027288,1,1,0,0,0,0,0,0,2,Borderline stable,0.21735072041667092,No strong hotspot evidence,No strong hotspot evidence,0.013557118220689529,0.011518971083969482,0.01355157538828695,0.009963265748637477
133,HF2761,3648,0,0,0,0,Not significant,Not significant,-2.9704078509792673,0.19403162003569507,-1.601695249271459,2.6581652557040996,0.2734018208726092,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.21680099142026113,No strong hotspot evidence,No strong hotspot evidence,1.3077502472568224e-4,0.002131770852374923,1.9021560547466293e-5,0.0018407872875504591
134,HF3153,8864,0,0,0,0,Not significant,Not significant,-3.5755669965391528,0.13190730491319014,-1.5089955674479965,2.2240308490976126,0.24872869620012694,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.21371469402836593,No strong hotspot evidence,No strong hotspot evidence,1.1418480360845058e-5,2.1741622738798987e-4,1.989800780215622e-6,1.779305031338921e-4
135,HF2673,3990,0,0,0,0,Not significant,Not significant,-3.0383814200409835,0.1884885512853519,-1.8204560924839042,2.89664317921624,0.2648477353925396,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.21251799043709038,No strong hotspot evidence,No strong hotspot evidence,1.0729324497427533e-4,0.0018057372815528667,2.099466572492472e-5,0.002452180142726692
136,HF0283,102942,0,0,0,0,Not significant,Not significant,-5.516143649966311,0.024575927928982444,-3.495209891123248,1.9330305247778754,0.03529154893923747,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.21220767342751218,No strong hotspot evidence,No strong hotspot evidence,3.4148910936788636e-8,8.384961781978036e-7,1.293559276472508e-8,1.0457028210612263e-6
137,HF1726,10796,0,0,0,0,Not significant,Not significant,-3.820186193617348,0.11845341146176835,-1.5000136990807416,2.102924762975346,0.2378304415400596,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.21176936525528559,No strong hotspot evidence,No strong hotspot evidence,8.316028394856622e-6,1.5439441232767255e-4,1.2555833828670021e-6,1.0658809064198883e-4
138,HF1438,2355,0,0,0,0,Not significant,Not significant,-2.794602172895599,0.2260214284478076,-2.138254959610214,3.451648004587673,0.26779742037530907,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.20968819646322326,No strong hotspot evidence,No strong hotspot evidence,7.336584968494723e-4,0.010556865818808015,2.2727978368977016e-4,0.022118624026881504
139,HF1390,7587,0,0,0,0,Not significant,Not significant,-3.2725152482905617,0.14594484822998144,-1.8393596133510806,2.473171849788854,0.22852144561312482,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.20302170021466903,No strong hotspot evidence,No strong hotspot evidence,1.2350330137852428e-5,2.538950231851657e-4,3.3482252900437243e-6,3.287408198622863e-4
140,HF1419,24695,0,0,0,0,Low-High,Low-High,-4.253839559787543,0.07371328006455591,-1.8875559878568773,2.016768066657362,0.17465432754111532,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.19977984393350337,Discordant cluster area,Discordant cluster area,7.838953622153531e-7,1.7761040916367572e-5,2.2936386136591234e-7,1.9233660551367294e-5
141,HF2508,9958,0,0,0,0,Not significant,Not significant,-3.7622490703162828,0.12322999771975107,-1.7696609124046276,2.1116209196424145,0.20099905057108847,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.19611398233983884,No strong hotspot evidence,No strong hotspot evidence,1.021714663041539e-5,1.8659748419178887e-4,1.5248998853708866e-6,1.2538746407517827e-4
142,HF3362,3052,0,0,0,0,Not significant,Not significant,-2.9116134639694344,0.20597808775658266,-2.4593834657173197,3.329776213672827,0.23007398123622824,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.19477465819133585,No strong hotspot evidence,No strong hotspot evidence,2.5697060293280544e-4,0.003917647535507612,1.1937447256711783e-4,0.009670771182406042
143,HF1600,44898,0,0,0,0,Low-High,Low-High,-4.780216770328201,0.048403683572337486,-2.396214177957635,1.9943151406212094,0.11477432459394454,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.19393674296973712,Discordant cluster area,Discordant cluster area,2.089540052005977e-7,4.915047984067326e-6,6.889840459087602e-8,5.762585081775414e-6
144,HF2916,2703,0,0,0,0,Not significant,Not significant,-2.777596456185231,0.21705606654676957,-2.5170146386570305,3.306997152662956,0.22329333301520127,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.19165204784120807,No strong hotspot evidence,No strong hotspot evidence,3.271956048492571e-4,0.005075538893196178,1.6726731099883072e-4,0.010203671412012312
145,HF1688,8949,0,0,0,0,Not significant,Low-High,-3.6268871125899427,0.1315945741544028,-1.928217591222596,2.208066975824845,0.19126056250276424,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.19059822303306856,No strong hotspot evidence,Discordant cluster area,1.2365189811226987e-5,2.3329770533259616e-4,2.0416275006131315e-6,1.718914951075204e-4
146,HF0290,7616,0,0,0,0,Not significant,Not significant,-3.4953482753394374,0.14148710596276193,-2.2755920985923823,2.6307810125044986,0.19352288661835415,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.1875922646492863,No strong hotspot evidence,No strong hotspot evidence,1.7854936986462305e-5,3.270073699641068e-4,4.184089931298504e-6,4.119228978152601e-4
147,HF2108,3020,0,0,0,0,Not significant,Not significant,-2.889766491425729,0.20745867256536488,-3.674441742442752,5.025321861012358,0.23233297249706952,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.18660282645715306,No strong hotspot evidence,No strong hotspot evidence,2.576981768975294e-4,0.003972949149113855,0.03674912171051689,1.0750230531936245
148,HF2991,4409,0,0,0,0,Not significant,Not significant,-3.1706982813262594,0.1816068304494658,-2.7953957893278436,3.4480695286024337,0.2087651699274875,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.18611276157514967,No strong hotspot evidence,No strong hotspot evidence,1.004120487463695e-4,0.0016932348220366326,6.290449280663681e-5,0.0060839180520514185
149,HF0948,10195,0,0,0,0,Not significant,Not significant,-3.6702132608847777,0.12251372194570975,-2.177881420903887,2.376444106839748,0.1797166496026913,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.18588524971737153,No strong hotspot evidence,No strong hotspot evidence,7.764826739997038e-6,1.5020770715631562e-4,1.7576031539710682e-6,1.5932631321001188e-4
150,HF1734,26861,0,0,0,0,Not significant,Low-High,-4.52829965066919,0.0697494344148416,-2.2148209284588423,2.0008507590853037,0.13416002275416894,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.1852223269953316,No strong hotspot evidence,Discordant cluster area,8.857424439276277e-7,1.8338344819477902e-5,1.9425595341783548e-7,1.5987252092270915e-5
151,HF1751,10610,0,0,0,0,Low-High,Low-High,-3.800056775875916,0.11986132667442895,-2.2030083993535663,2.3764994732895848,0.17696398946230185,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.18512439199901465,Discordant cluster area,Discordant cluster area,8.644532254560535e-6,1.6145824423621934e-4,1.623960010446447e-6,1.4781562797201004e-4
152,HF2211,7013,0,0,0,0,Not significant,Not significant,-3.5391334103083163,0.14724351183938977,-2.0854275172004217,2.274974822574029,0.17965476032090955,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.18357368646372021,No strong hotspot evidence,No strong hotspot evidence,2.9182798130702665e-5,5.068816621604025e-4,3.7382028490955505e-6,2.933454695341757e-4
153,HF2501,4903,0,0,0,0,Not significant,Not significant,-3.2093492729331894,0.17195477258515757,-2.62825230088517,3.0106775410801765,0.19133780232800413,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.1817029769596898,No strong hotspot evidence,No strong hotspot evidence,6.244804309779884e-5,0.0010547960397677208,2.2531705040469306e-5,0.0018222879105312237
154,HF2280,3782,0,0,0,0,Not significant,Not significant,-3.051563258320652,0.190679586556173,-3.850113859240662,4.947012823434196,0.21820479829839068,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.181077628127214,No strong hotspot evidence,No strong hotspot evidence,1.378626246843441e-4,0.002204984675097837,0.017048403790033976,0.5364101432783703
155,HF2528,5756,0,0,0,0,Not significant,Not significant,-3.376706388825152,0.15949897838758942,-2.444319000878149,2.7016179331478285,0.1827959635721047,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.1808615942654843,No strong hotspot evidence,No strong hotspot evidence,4.523421382509133e-5,7.557470620767534e-4,9.451299130483333e-6,7.832970220877291e-4
156,HF1595,6851,0,0,0,0,Not significant,Not significant,-3.2754834989274273,0.15160042559100173,-2.8291679658013744,3.1558040578827,0.18499376744158602,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.17982347563385967,No strong hotspot evidence,No strong hotspot evidence,1.818282398300068e-5,3.56504349775699e-4,1.3041000966189532e-5,0.0013851831251452521
157,HF0583,44464,0,0,0,0,Not significant,Not significant,-4.852099922776222,0.04876477859712902,-2.7498627765295707,1.9522969987079306,0.07948755844821798,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.17858146565818722,No strong hotspot evidence,No strong hotspot evidence,2.3711201853794808e-7,5.343688081196922e-6,6.984357574606594e-8,5.620543412378142e-6
158,HF0698,15464,0,0,0,0,Not significant,Not significant,-3.973998302218547,0.09754037521302061,-2.338850795327859,2.217424036954292,0.1457674876963908,0,0,0,0,0,0,0,0,0,Unstable / weak evidence,0.177736929426453,No strong hotspot evidence,No strong hotspot evidence,2.704446832867664e-6,5.5439891129998354e-5,6.721064148528006e-7,5.7570347259667215e-5
