residual_priority_rank,catchment_id,facility_name,facility_class,ownership_class,region,catchment_population,malaria_cases,scd_cases,shared_mean_adj,shared_sd_adj,shared_q025_adj,shared_q975_adj,shared_ci_width_adj,exceed_prob_rr_gt1_adj,hotspot_080_adj,hotspot_090_adj,robust_hotspot_005_adj,robust_hotspot_010_adj,hotspot_class_005_adj,hotspot_class_010_adj,stability_score,stability_class,uncertainty_class,residual_hotspot_confidence,residual_typology,residual_priority_score,rr_malaria_adj,rr_scd_adj
28,HF1113,Dabani HOSPITAL,General hospital,PNFP,BUKEDI,54227,3938,556,4.253877884845772,1.8900896187673952,0.5730473910932137,8.005587033641437,7.432539642548223,0.9877952657758736,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.6174378529703798,1.6400628152093567e-4,0.0021473376434756075
29,HF2601,Ishongororo HC IV,HC IV,Government,ANKOLE,29704,4936,1,5.449593212688635,1.4804683111909156,2.6520990807591938,8.46579726572602,5.8136981849668254,0.9998838362225952,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,3,Borderline stable,Low uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.6165208101960264,6.848518446771806e-4,3.4631548422993495e-5
30,HF2206,Lira REGIONAL REF HOSPITAL,Hospital,Government,LANGO,20149,13408,3698,0.0466930328245645,1.4420075820991793,-2.8052347758725023,2.863714592685837,5.668949368558339,0.51291572285732,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.6129514930860689,0.004044155311261551,0.10338763104408237
31,HF0204,St. Francis Nsambya HOSPITAL,General hospital,PNFP,GREATER KAMPALA,25095,11550,601,2.0251632948145217,1.8849399769297983,-1.737985191649348,5.66759372393336,7.405578915582708,0.8586763516308513,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.6117333186380709,0.002245739087951601,0.010832862390972975
32,HF2801,Virika HOSPITAL,General hospital,PNFP,TORO,15455,16513,179,0.7923905059921361,1.0582930416644754,-1.2563994479572547,2.911231708760626,4.1676311567178805,0.7729942240461716,0,0,0,0,Not hotspot,Not hotspot,4,Moderately stable,Low uncertainty,Not residual hotspot,No strong residual signal,0.6090957959656843,0.008465023838134068,0.0085509320060545
33,HF0680,St. Francis HOSPITAL Naggalama,General hospital,PNFP,GREATER KAMPALA,49954,2040,2021,2.168551533539502,1.835512385159403,-1.4822462527901696,5.725138204901258,7.207384457691427,0.8812864211499367,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.6047217293063843,1.0015501014785374e-4,0.009188394331766443
34,HF0216,Kiruddu,Hospital,Government,GREATER KAMPALA,37804,3525,2191,2.125813460460403,2.1504849476588803,-2.1519441337088914,6.296290625916765,8.448234759625656,0.83855280786388,1,0,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,Moderate-confidence residual hotspot,Moderate-confidence residual hotspot,0.6013004077012092,3.021009884661885e-4,0.01739764756924973
35,HF3141,Mbarara Community HOSPITAL,General hospital,PFP,ANKOLE,439,1447,424,3.5732118794859327,1.5528075078304642,0.5073517099264997,6.619052180118757,6.1117004701922575,0.989307856853726,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.5975651676733266,0.9198371384241185,24.967013438114687
36,HF1747,Rubongi Military HOSPITAL,General hospital,Government,BUKEDI,18869,4349,57,3.715378000459386,1.8699353933259033,0.09502336624915886,7.444537147049807,7.349513780800649,0.9765333599823888,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.5963353986705249,0.00149566256762613,0.0018560694635811632
37,HF1617,Pallisa HOSPITAL,General hospital,Government,BUKEDI,54737,810,579,4.235149605155788,1.9329822834234551,0.45969242481942274,8.062387897796597,7.6026954729771745,0.9857738308971893,1,1,0,0,Bayesian hotspot only,Bayesian hotspot only,4,Moderately stable,Low uncertainty,High-confidence residual hotspot,High-confidence residual hotspot,0.5961823254407995,3.3146132138790264e-5,0.002192390678267057
