priority_rank,catchment_id,catchment_population,malaria_cases,scd_cases,shared_mean_step5,shared_sd_step5,exceed_prob_step5,stability_score,stability_class,prioritisation_score,final_typology_005,final_typology_010
71,HF2009,44937,1801,50,3.8460938799018964,1.4398912961718886,0.9962198458710573,4,Moderately stable,0.5818047581117256,Bayesian-only shared hotspot,Bayesian-only shared hotspot
72,HF1313,32937,2093,190,4.329546604522508,1.4735371664335188,0.9983493790056742,4,Moderately stable,0.5813984534810837,Bayesian-only shared hotspot,Bayesian-only shared hotspot
73,HF0887,60614,444,149,3.1720359001467497,1.5357267132033796,0.9805619075493234,4,Moderately stable,0.5803481839950678,Bayesian-only shared hotspot,Bayesian-only shared hotspot
74,HF0052,36720,2092,100,4.1550841374647405,1.5396828524663229,0.9965190613844463,4,Moderately stable,0.5800547956897608,Bayesian-only shared hotspot,Bayesian-only shared hotspot
75,HF1591,18565,2139,307,5.336677600254629,1.5132759995287957,0.9997895120945673,4,Moderately stable,0.5800229827601848,Bayesian-only shared hotspot,Bayesian-only shared hotspot
76,HF1747,18869,4349,57,4.472489399370056,1.4818391196412448,0.9987286021346901,4,Moderately stable,0.5798818776445743,Bayesian-only shared hotspot,Bayesian-only shared hotspot
77,HF0327,25071,3771,65,4.207371256039411,1.550839946225726,0.9966657715196973,4,Moderately stable,0.5794738668253939,Bayesian-only shared hotspot,Bayesian-only shared hotspot
78,HF1234,43021,2139,78,3.389077101720276,1.4965772960704802,0.9882299071953019,4,Moderately stable,0.57699077160976,Bayesian-only shared hotspot,Bayesian-only shared hotspot
79,HF1354,26873,3324,39,3.821992173070763,1.5609420483723975,0.9928277046182256,4,Moderately stable,0.5732000415137595,Bayesian-only shared hotspot,Bayesian-only shared hotspot
80,HF2874,10419,2844,100,5.546270203655639,1.5521902141314354,0.9998236705078667,4,Moderately stable,0.5718201920344089,Bayesian-only shared hotspot,Bayesian-only shared hotspot
81,HF1754,13722,1374,261,5.633561935512519,1.5503765401223484,0.9998602927229059,4,Moderately stable,0.5711939237773622,Bayesian-only shared hotspot,Bayesian-only shared hotspot
82,HF2481,12101,1665,206,5.732685120991341,1.5851642753628596,0.999850670978552,4,Moderately stable,0.5705135802838304,Bayesian-only shared hotspot,Bayesian-only shared hotspot
83,HF0588,27583,1071,157,4.567021676971993,1.57523094025883,0.9981298438253987,4,Moderately stable,0.5702957426932411,Bayesian-only shared hotspot,Bayesian-only shared hotspot
84,HF2791,8402,3771,31,4.824444994233643,1.5076248344466163,0.9993129340481619,4,Moderately stable,0.5682682656840312,Bayesian-only shared hotspot,Bayesian-only shared hotspot
85,HF2522,11275,2092,100,5.4818331563079195,1.556458855121094,0.9997858401786731,4,Moderately stable,0.5672054693946427,Bayesian-only shared hotspot,Bayesian-only shared hotspot
86,HF1697,13885,2897,67,4.543147769146182,1.5615031267583797,0.9981897940410949,4,Moderately stable,0.5663760285765023,Bayesian-only shared hotspot,Bayesian-only shared hotspot
87,HF0777,33538,444,149,3.992345848406446,1.5299956042969232,0.9954647286046815,4,Moderately stable,0.5663262156143092,Bayesian-only shared hotspot,Bayesian-only shared hotspot
88,HF2705,36682,1268,34,3.422578829544673,1.5586736031611566,0.9859478644865125,4,Moderately stable,0.5633767943357041,Bayesian-only shared hotspot,Bayesian-only shared hotspot
89,HF1431,3748,1817,92,6.113565030927438,1.568642532800983,0.9999513765442425,4,Moderately stable,0.5628197604670889,Bayesian-only shared hotspot,Bayesian-only shared hotspot
90,HF0263,10779,299,373,5.19113079920057,1.499444626941341,0.9997319469614824,4,Moderately stable,0.561771296041569,Bayesian-only shared hotspot,Bayesian-only shared hotspot
91,HF0854,20865,1587,86,3.9913206679072806,1.5013761398099836,0.9960748513346174,4,Moderately stable,0.5601323469948933,Bayesian-only shared hotspot,Bayesian-only shared hotspot
92,HF2837,7996,1828,30,5.2285493457111425,1.6003721652965266,0.9994566916926723,4,Moderately stable,0.5581484813509285,Bayesian-only shared hotspot,Bayesian-only shared hotspot
93,HF3149,5362,189,295,5.726714439678644,1.4961344997868744,0.9999353199132589,4,Moderately stable,0.5574520325893868,Bayesian-only shared hotspot,Bayesian-only shared hotspot
94,HF1312,38659,1382,17,2.7997611516833305,1.499573597158705,0.9690518714754381,4,Moderately stable,0.5549202135156593,Bayesian-only shared hotspot,Bayesian-only shared hotspot
95,HF2512,15960,745,43,4.39053613936247,1.551075819952864,0.99767724597905,4,Moderately stable,0.5521274798725782,Bayesian-only shared hotspot,Bayesian-only shared hotspot
96,HF2028,8613,1821,39,4.341690923275092,1.5455108525810068,0.9975169696709131,4,Moderately stable,0.5517741468085405,Bayesian-only shared hotspot,Bayesian-only shared hotspot
97,HF2513,6376,1281,16,4.7670136011715565,1.542762363590439,0.9989989508101976,4,Moderately stable,0.5490417812131309,Bayesian-only shared hotspot,Bayesian-only shared hotspot
98,HF0883,30893,2279,9,2.617983003396908,1.509189736691341,0.9586025267278736,4,Moderately stable,0.5482938525069787,Bayesian-only shared hotspot,Bayesian-only shared hotspot
99,HF0203,7544,1382,17,4.310532330587694,1.4203603058756173,0.9987965880486076,4,Moderately stable,0.5473995225404943,Bayesian-only shared hotspot,Bayesian-only shared hotspot
100,HF2601,29704,4936,1,2.354632279714571,1.6425770810448836,0.9241423296434489,3,Borderline stable,0.5453323553355601,Bayesian-only shared hotspot,Bayesian-only shared hotspot
101,HF2984,4819,1527,4,4.351959004645402,1.5976387159566257,0.9967751205400573,4,Moderately stable,0.5449781161011255,Bayesian-only shared hotspot,Bayesian-only shared hotspot
102,HF0019,17421,623,15,3.5075588294742603,1.4976735687804101,0.990409768323873,4,Moderately stable,0.5427407463592697,Bayesian-only shared hotspot,Bayesian-only shared hotspot
103,HF3353,16796,2124,5,2.922741263450575,1.508790168662199,0.9736360246735805,4,Moderately stable,0.541493758421897,Bayesian-only shared hotspot,Bayesian-only shared hotspot
104,HF1130,31671,1852,11,2.4774039342332386,1.5356134591598454,0.9466602376725871,4,Moderately stable,0.541074634613919,Bayesian-only shared hotspot,Bayesian-only shared hotspot
106,HF3331,5154,828,4,4.160048951349219,1.61658911682086,0.9949640293535472,4,Moderately stable,0.5386666239911257,Bayesian-only shared hotspot,Bayesian-only shared hotspot
107,HF3146,2071,78,8,4.488995372772502,1.5309477813839438,0.9983169744193958,4,Moderately stable,0.5345985804217898,Bayesian-only shared hotspot,Bayesian-only shared hotspot
108,HF3308,26761,672,9,2.452551013178797,1.5096546888083078,0.9478736908036205,4,Moderately stable,0.5289383630300494,Bayesian-only shared hotspot,Bayesian-only shared hotspot
109,HF0921,35279,511,14,1.9548292476713096,1.47801345654297,0.9070167565140401,4,Moderately stable,0.5180375760778386,Bayesian-only shared hotspot,Bayesian-only shared hotspot
110,HF1532,23806,760,5,2.0987183710270947,1.5712850137999248,0.9091714325597605,4,Moderately stable,0.5104792582708612,Bayesian-only shared hotspot,Bayesian-only shared hotspot
111,HF3236,24292,957,2,1.9544767869741135,1.5284154077520844,0.89950924273975,3,Borderline stable,0.5026831156865025,Bayesian-only shared hotspot,Bayesian-only shared hotspot
112,HF0202,21561,23,9,1.8529157417899742,1.396556030856418,0.9077084521518622,4,Moderately stable,0.5013675462675427,Bayesian-only shared hotspot,Bayesian-only shared hotspot
114,HF0262,13670,151,2,1.8896262373919868,1.4857821227948287,0.8982789261129791,3,Borderline stable,0.48658242340601426,Bayesian-only shared hotspot,Bayesian-only shared hotspot
115,HF0560,10014,2444,0,1.7980018196225709,1.617273266335679,0.8668769417832294,3,Borderline stable,0.4864630435969992,Bayesian-only shared hotspot,Bayesian-only shared hotspot
118,HF0253,5788,74,0,1.6179465511054243,1.7016623155978168,0.8291479420191904,2,Borderline stable,0.44746357761200767,Bayesian-only shared hotspot,Bayesian-only shared hotspot
